customer_id,frequency,recency,T,monetary_value
35,4.0,135.0,1183.0,38.5
36,0.0,0.0,1182.0,0.0
37,2.0,68.0,1177.0,35.0
38,2.0,64.0,1173.0,75.0
39,0.0,0.0,1163.0,0.0
4,32.0,945.0,1232.0,90.4775
40,9.0,1034.0,1138.0,76.33999999999999
41,13.0,731.0,1138.0,92.2623076923077
42,2.0,61.0,1110.0,77.0
43,9.0,275.0,1110.0,47.44444444444444
44,2.0,61.0,1110.0,64.0
45,2.0,61.0,1110.0,42.0
46,2.0,61.0,1110.0,42.0
47,4.0,122.0,1079.0,79.0
48,6.0,670.0,1049.0,88.33166666666666
489,0.0,0.0,669.0,0.0
49,3.0,683.0,1049.0,79.32666666666667
491,0.0,0.0,668.0,0.0
492,5.0,153.0,652.0,99.0
4985,0.0,0.0,2.0,0.0
5,2.0,58.0,1224.0,59.0
50,5.0,511.0,1192.0,85.396
51,3.0,92.0,957.0,69.0
511,0.0,0.0,667.0,0.0
53,5.0,148.0,1012.0,55.2
55,2.0,62.0,988.0,69.0
57,2.0,732.0,996.0,95.16
58,0.0,0.0,991.0,0.0
59,0.0,0.0,988.0,0.0
6,1.0,30.0,1219.0,75.0
60,0.0,0.0,984.0,0.0
61,1.0,73.0,901.0,74.99
62,0.0,0.0,977.0,0.0
631,5.0,368.0,651.0,100.796
66,4.0,122.0,926.0,79.0
67,0.0,0.0,945.0,0.0
69,0.0,0.0,942.0,0.0
7,11.0,324.0,1219.0,74.45363636363636
716,2.0,61.0,652.0,99.0
75,2.0,61.0,896.0,69.0
79,2.0,61.0,865.0,69.0
8,11.0,355.0,1219.0,65.36363636363636
84,0.0,0.0,468.0,0.0
841,5.0,153.0,652.0,99.0
843,1.0,23.0,682.0,56.97
85,1.0,206.0,1065.0,49.99
86,0.0,0.0,858.0,0.0
89,13.0,1126.0,1183.0,75.86615384615385
9,1.0,30.0,1215.0,59.0
91,0.0,0.0,847.0,0.0
95,0.0,0.0,832.0,0.0
96,1.0,354.0,1186.0,47.97
97,0.0,0.0,823.0,0.0
98,0.0,0.0,830.0,0.0
99,0.0,0.0,829.0,0.0
993,10.0,304.0,622.0,99.0
g-1216,0.0,0.0,654.0,0.0
g-136,13.0,847.0,849.0,84.28923076923077
g-137,0.0,0.0,762.0,0.0
g-139,1.0,487.0,770.0,117.94
g-140,0.0,0.0,781.0,0.0
g-141,0.0,0.0,789.0,0.0
g-142,0.0,0.0,794.0,0.0
g-143,15.0,1065.0,1086.0,183.82533333333333
g-144,0.0,0.0,811.0,0.0
g-145,0.0,0.0,820.0,0.0
g-146,1.0,729.0,820.0,97.49
g-147,0.0,0.0,821.0,0.0
g-148,2.0,361.0,1183.0,76.49000000000001
g-149,0.0,0.0,822.0,0.0
g-151,0.0,0.0,822.0,0.0
g-152,2.0,721.0,1174.0,83.305
g-153,1.0,366.0,822.0,76.97
g-154,0.0,0.0,811.0,0.0
g-155,0.0,0.0,823.0,0.0
g-156,0.0,0.0,812.0,0.0
g-157,1.0,298.0,1122.0,47.99
g-159,1.0,1.0,825.0,74.99
g-160,0.0,0.0,812.0,0.0
g-161,0.0,0.0,824.0,0.0
g-162,0.0,0.0,813.0,0.0
g-163,0.0,0.0,813.0,0.0
