customer_id,frequency,recency_days,T_days,monetary_mean,segment,segment_prob_max
g-318,0,0,1188,74.99,2,0.999999988289833
g-319,0,0,1213,40.0,2,0.9999995431892983
g-320,0,0,1213,50.0,2,0.9999998872814501
g-321,0,0,1213,44.99,2,0.9999997825671626
g-322,0,0,1213,44.99,2,0.9999997825671626
g-323,0,0,1189,90.0,2,0.9999999959086914
g-324,0,0,1190,50.0,2,0.9999998688060925
g-325,1,0,1190,40.0,0,0.9826032440344707
g-326,10,0,1190,35.0,1,0.9999999941913664
g-327,0,0,1191,74.99,2,0.9999999885118226
g-3270,0,0,281,86.56,2,0.9999999999994742
g-328,7,734,1191,96.29124999999999,4,0.9999882858004874
g-329,0,0,1194,74.99,2,0.9999999887329435
g-330,0,0,1195,100.0,2,0.9999999978190477
g-331,0,0,1197,35.0,2,0.9999988048902999
g-332,0,0,1198,40.0,2,0.9999994953778918
g-333,0,0,1199,40.0,2,0.9999994986029264
g-334,0,0,1199,50.0,2,0.9999998761199512
g-335,0,0,1201,50.0,2,0.9999998777328724
g-336,0,0,1204,35.0,2,0.999998857417192
g-337,0,0,1204,50.0,2,0.9999998801418856
g-338,0,0,1205,50.0,2,0.9999998809419157
g-339,0,0,1208,35.0,2,0.9999988871768376
g-343,0,0,727,39.96,2,0.9999999734199786
g-345,0,0,725,49.5,2,0.9999999930578038
g-3468,0,0,269,85.11,2,0.9999999999994156
g-347,0,0,714,55.0,2,0.9999999972437283
g-349,0,0,699,31.98,2,0.999999953004987
g-351,0,0,693,17.83,2,0.9999983017007225
g-352,1,0,692,38.475,0,0.9351661528841672
g-353,0,0,689,42.49,2,0.999999994039813
g-3535,0,0,265,180.08,2,0.9999999999984084
g-3549,1,5,263,95.71000000000001,1,0.9999999570237419
g-3555,0,0,262,68.38,2,0.9999999999992859
g-357,0,0,681,129.0,2,0.9999999999890701
g-361,0,0,680,49.99,2,0.9999999983210657
g-363,0,0,677,66.96,2,0.9999999997179749
g-3767,0,0,192,99.34,2,0.999999999996863
g-3769,0,0,188,87.95,2,0.9999999999943157
g-3772,0,0,182,59.15,2,0.9999999999883649
g-3773,0,0,182,71.15,2,0.9999999999886597
g-3774,0,0,175,55.1,2,0.9999999999853717
