Billing ZIP,Total Customers,Total Spent,Avg Spent,Total Orders,Avg Orders,Total Items,Avg Items,Returning Customers,Returning Customers Rate
95032,1,88.86,88.86,1,1,1,1,0,0
92024-2624,1,210.63,210.63,2,2,14,14,1,100
21639,1,131.85,131.85,2,2,2,2,1,100
90018,1,96.67,96.67,1,1,5,5,0,0
20816,1,290.56,290.56,2,2,10,10,1,100
15116,1,157.49,157.49,1,1,5,5,0,0
90201,1,61.73,61.73,1,1,2,2,0,0
20009-1411,1,107.44,107.44,1,1,7,7,0,0
97219,1,662.81,662.81,8,8,12,12,1,100
33901,1,88.58,88.58,1,1,5,5,0,0
31406,1,204.12,204.12,1,1,2,2,0,0
20901,1,95.98,95.98,1,1,2,2,0,0
98110,1,250.31,250.31,4,4,6,6,1,100
85286,1,77.16,77.16,1,1,3,3,0,0
20785,1,151.47,151.47,1,1,4,4,0,0
20016,1,59.99,59.99,1,1,1,1,0,0
95618-7659,1,105.43,105.43,1,1,8,8,0,0
15687,1,492.02,492.02,4,4,19,19,1,100
24401,1,86.56,86.56,1,1,3,3,0,0
20872,1,68.8,68.8,1,1,6,6,0,0
21029,1,128.62,128.62,1,1,1,1,0,0
21754-8641,1,92.45,92.45,1,1,2,2,0,0
30342,1,224.57,224.57,2,2,4,4,1,100
21401-3212,1,76.18,76.18,1,1,1,1,0,0
33957,1,146.78,146.78,1,1,1,1,0,0
20880,1,59,59,1,1,1,1,0,0
10580,1,391.41,391.41,3,3,25,25,1,100
15541,1,84.34,84.34,1,1,1,1,0,0
44224,1,179.73,179.73,1,1,3,3,0,0
20015-1352,1,67.17,67.17,1,1,3,3,0,0
95818-3123,1,124.54,124.54,1,1,1,1,0,0
20008,1,1418.65,1418.65,15,15,30,30,1,100
49723,1,215.19,215.19,3,3,5,5,1,100
21742,1,140,140,5,5,5,5,1,100
20003,1,56.32,56.32,1,1,1,1,0,0
11249,1,99.09,99.09,1,1,1,1,0,0
19446,1,319.15,319.15,3,3,12,12,1,100
13142,1,81.58,81.58,1,1,4,4,0,0
06089,1,172.47,172.47,2,2,4,4,1,100
22812,1,118,118,2,2,2,2,1,100
53217,1,850.2,850.2,15,15,15,15,1,100
21201,1,88.86,88.86,1,1,1,1,0,0
53132-8146,1,72.44,72.44,1,1,3,3,0,0
